Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-03-27,The Lost King,2022,https://boxd.it/42mg1j,4,,"Inspiring tale of seeking historical truth, following one’s convictions, and empowering minority voices. The accompanying score is phenomenal along with a great performance from Sally Hawkins. History is awesome.",,2023-03-26
2023-03-27,Columbus,2017,https://boxd.it/42qLyr,5,,"The shot composition is perfection and I just want to inject the aesthetic of this movie into my bloodstream. When I tell people summer is my favorite season, this is why.",,2023-03-26
2023-03-29,A Thousand and One,2023,https://boxd.it/42SZml,4,,"There are two central conflicts throughout this film that, while both being compelling in their own right, don’t really seem to complement each other super well. The focus is split between Terry’s journey to discover a sense of belonging and the growing gentrification of the neighborhood. However, these struggles majestically collided to deliver an ending that had my jaw dropped. Overall, this is a strong directorial effort from A.V. Rockwell.",,2023-03-28
2023-04-02,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/43LDP1,4,,Still can’t believe the party had time to do Portal and Prop Hunt side quests and also quite literally made a Source Filmmaker YouTube Poop by accident.,,2023-04-01
2023-04-07,Rye Lane,2023,https://boxd.it/459cGN,4.5,,This movie is low key hilarious.,,2023-04-06
2023-04-07,The Super Mario Bros. Movie,2023,https://boxd.it/45itmj,5,,"This is by no means a perfect movie, but as a lifelong Mario player I had a big smile on my face the entire time. There’s so many background details and Easter eggs, specifically in the musical score, and I can’t wait for this to be dissected frame-by-frame. It’s clear there is a lot of passion in this and I really hope the success of this leads to a sequel or another Nintendo franchise to be made.",,2023-04-06
2023-04-08,Paint,2023,https://boxd.it/45uiM5,3.5,,"This film very much has an acquired sense of humor that misses more than it hits. The calm demeanor of Carl Nargle that would lend itself to an enriching and nuanced performance instead takes a lot of the tension out of some of the scenes where conflict is necessary. Ultimately, way too much is developed off-screen. However, I really enjoyed the last act and the ending mitigated a lot of the problems I had with earlier parts of the movie.",,2023-04-07
2023-04-10,Air,2023,https://boxd.it/46aC47,4,,"This doesn’t really push any expectations in terms of the corporate underdog formula, but it’s an exciting watch that taught me more about Michael Jordan and the Nike brand. I really liked how the final pitch mirrored a scene from earlier in the movie.",,2023-04-09
2023-04-12,How to Blow Up a Pipeline,2022,https://boxd.it/46Lrih,4.5,,Fascinating watch with <i>explosive</i> performances that perfectly captures the current zeitgeist of climate activism. I love how each character represents a unique reason one would turn to ecological radicalism. There is a palpable tension that increases with each successive victory and setback.,,2023-04-11
2023-04-12,Showing Up,2022,https://boxd.it/46NKTP,3,,"I didn’t really understand what this film was attempting to convey until the very last shot. The film moves extremely slow and I found myself checking my watch multiple times. I couldn’t easily connect with the characters but I recognize that this is more of an introspective character study than having overt goals and motivations. That being said, I did really appreciate trying to decipher the small interjected character dynamics that told an entire story on its own. I also really liked its calm tone - it gives unemployed at 2pm on a Tuesday afternoon vibes.",,2023-04-11
2023-04-13,Your Name.,2016,https://boxd.it/478R47,5,Yes,I just think this is simply one of the most beautiful films to ever exist.,,2023-04-12
2023-04-14,Nefarious,2023,https://boxd.it/47iOdv,1.5,,"I won’t lie, the first act had me hooked. The setup of a theological debate between an atheist and a supposed demon is pretty cool in concept. It lost me when it started to decry the “evils” of abortion and “hypocrisy” of liberal virtue signaling. I would have respected this more if it had provided a valid counter argument to some of these viewpoints, but like all right-leaning media it is only interesting in feeding the delusion of a culture war. The ending is also extremely uninteresting and fails to impart any sense of a revelatory message.",,2023-04-13
2023-04-14,Suzume,2022,https://boxd.it/47lYIp,4.5,,"The visuals and score are top-notch as expected; I'll always be amazed at how Makoto Shinkai manages to produce such consistently flawless animation. The first half is a fun fantasy, island-hopping, goose-chasing adventure, with the second half delivering a powerful metaphor for the March 11th disaster. What struck me about this film more than anything were its characters, each one supplementing the narrative in a unique way. Suzume and Souta are great of course, but some of the most memorable characters to me were in the supporting cast and only crossed paths briefly with the protagonists. There is something special to me about the vibrancy and generosity of complete strangers throughout this story. The influence of Howl's Moving Castle is also tremendously appreciated.",,2023-04-13
2023-04-16,Mafia Mamma,2023,https://boxd.it/47LV5L,3,,"Exceedingly average in quality, but has some funny recurring gags and character performances.",,2023-04-15
2023-04-18,The Pope's Exorcist,2023,https://boxd.it/48tuOH,4,,"I was on the fence about going to see this, but I’m really glad I did. I was expecting a run-of-the-mill schlocky horror movie but I would classify it as more of a thriller. Russell Crowe gives a stand out performance and I would gladly watch an entire movie of him just riding around on a Vespa. I’m a big fan of religious imagery and this film has really awesome visuals, but I want to shout out a shot at the beginning of the third act that makes a blood splatter appear as majestic wings.",,2023-04-17
2023-04-20,Renfield,2023,https://boxd.it/48WM4v,3,,Entertaining enough but unironically I enjoyed Morbius just slightly more in the league of vampire superhero movies.,,2023-04-19
2023-04-21,Beau Is Afraid,2023,https://boxd.it/4971cT,2.5,,"I appreciate that Ari Aster had the freedom to oversee his vision to its fullest extent, but this was way too absurdist for my taste. When there’s one rogue character or plot element, it makes for an exciting and suspenseful movie. However, when you’re spending the entire movie wondering whether or not what you’re seeing is real, I find it extremely hard to remain invested. This movie is three hours long with many scenes that drag on unnecessarily long and this film had a very low energy overall. I still wish this movie stuck with its original title, “Disappointment Boulevard.”",,2023-04-20
2023-04-21,The Big Lebowski,1998,https://boxd.it/498Max,4,,Is this lowkey a neo-noir??,,2023-04-20
2023-04-23,Evil Dead Rise,2023,https://boxd.it/49AN39,4,,"After watching the entire franchise for the first time this past week, I was starting to think these movies just weren’t for me. With the exception of Army of Darkness, I just didn’t really find any of these to be terribly interesting. However, this film delivers a fresh setting and group dynamic, and bodily mutilation that actually made me cringe. Also this film has one of the coldest title drops I’ve ever seen.",,2023-04-22
2023-04-24,Guy Ritchie's The Covenant,2023,https://boxd.it/4a1Xhz,4.5,,An awe-inspiring display of the indomitable human spirit. Dar Salim as Ahmed is the newest “I’m him” performance and character. I really appreciate that a large portion of this movie is dedicated to the journey through the mountains because it creates such a tense atmosphere that kept me on the edge of my seat.,,2023-04-23
2023-04-26,Chevalier,2022,https://boxd.it/4avhF5,3.5,,"A middle-of-the-road biopic lifted up by its novel character study found in Joseph Bologne, who I certainly haven’t heard of before this. Giving credit to this film, there are some exceptional scenes such as the confrontation of Marie Antoinette and the final concerto. However, I don’t know if this was an issue with my theater or the movie itself, but a lot of the framing for the shots, especially the close-ups, felt as though the camera should have been just a bit higher.",,2023-04-25
2023-04-26,Joint Security Area,2000,https://boxd.it/4aAnFl,5,,One of the greatest second acts I’ve ever seen.,,2023-04-25
2023-04-28,Polite Society,2023,https://boxd.it/4b0cPL,4,,"Charming family drama disguised as an action flick. This normally doesn’t stick out to me in movies, but the costume design in this film is outstanding. Literally every scene had a unique and well-designed outfit for every character, and Ria’s green-and-gold dress shown on the poster is instantly iconic. This film exudes style and passion and I’d like to see more from director Nida Manzoor.",,2023-04-27
2023-05-02,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/4c71X3,4,,"The usual coming-of-age girl drama didn’t resonate with me, but as someone that grew up in a dual religion household in the New Jersey suburbs this movie definitely spoke to me. It was really nice to have a movie explore the loaded subject of religion but wasn’t preachy by any means.",,2023-05-01
2023-05-02,Return of the Jedi,1983,https://boxd.it/4c9nTh,3.5,Yes,"I love all Star Wars content, but this film has always been one of my least favorite among the saga. The Jabba’s Palace and Endor subplots have never truly captivated me in a way that the other films have managed to do. On the other hand, every moment spent in the Emperor’s Throne Room is peak Star Wars, and I’m very satisfied with how this trilogy ends. In my opinion, the Special Edition of this film has also lifted up the quality more so than the others, especially by including the celebrations on every planet that played a significant role in the rest of the franchise. I’m glad I got to see this in theaters (for the first time) for its fortieth anniversary, with May Fourth right around the corner.",,2023-05-01
2023-05-03,Sisu,2022,https://boxd.it/4cjFjh,3.5,,"There’s nothing more satisfying than Nazis being annihilated. That being said, this feels more like a game of checkers rather than chess. The Nazis plan of attack as well as Aatami’s defense strategy are both questionable and not very well thought out. However, I like that Aatami is a silent protagonist and this film has some clean visuals. Fuck Nazis.",,2023-05-02
2023-05-03,Big George Foreman,2023,https://boxd.it/4cme8d,3.5,,"I didn’t know much about George Foreman going into this movie so I can’t say much as to how accurate it is to reality. It does seem like some aspects of his life were skipped over or rushed through, such as his divorce from his first wife or his grilling deal, but overall it was a worthwhile experience to see his inspiring boxing comeback.",,2023-05-02
2023-05-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4cVSov,5,,"Almost ten years ago, James Gunn and Marvel made their largest gamble since Iron Man by choosing to make a film about the no-name heroes known as the Guardians of the Galaxy. Today, they are one of the strongest teams in the Marvel lineup. This film completed the Guardians trilogy and made it the most consistently high quality set of movies in the MCU.

Guardians Vol. 3 is an instant S-tier Marvel film for me for one reason: Rocket’s backstory. I knew going into this movie that Rocket’s past would finally be explored in detail even though the previous films have painted a clear enough picture that it would be a gut-wrencher. Every scene with Rocket sent chills down my spine, and a few caused me to shed some tears. None of it was unexpected, but all of it made it the strongest subplot that Marvel has put on screen in my opinion.

The High Evolutionary is also an amazing adversary. I knew from Peacemaker that Chukwudi Iwuji would bring the gravitas necessary to create such an intimidating villain for the Guardians and he did not disappoint.

With Gunn headed to DC, and some of the Guardians having perfectly fitting conclusions to their character arcs, I’m really going to miss this ensemble. It will definitely be remembered as a high point in the Marvel legacy.",,2023-05-04
2023-05-12,Hypnotic,2023,https://boxd.it/4eKrDT,3,,"Extremely convoluted with awful color grading. It draws a ton from other films (especially Nolan) which isn’t necessarily an issue, but it causes this movie to lack its own identity. I couldn’t stop comparing this to the Purple Man arc from Jessica Jones. It got some eyebrow raises out of me though and it definitely gets points in my book for having the audacity to include a hacker’s den in the movie.",,2023-05-11
2023-05-12,BlackBerry,2023,https://boxd.it/4eMn9f,4.5,,"The corporate biopic is hitting the cinemas in full stride this year, but this is by far the best one in my opinion. I'll probably rate it higher on a rewatch, but my theater experience was subpar. In contrast to the other biopics that have relatively been by-the-numbers, this one breaks the mold by showcasing not only a highlight reel of BlackBerry's best moments, but also their worst failures. I absolutely loved seeing the rallying scenes involving getting the BlackBerry to market as well as their ability to fight back against the hostile takeover. With every up and down, I was along for the ride on this rollercoaster and I'll take fifty more movies of Glenn Howerton playing a Les Grossmann caricature.",,2023-05-11
2023-05-17,L'immensità,2022,https://boxd.it/4fRbkT,3.5,,"Poorly paced and edited, but on the whole a beautifully shot slice-of-life narrative about the trans experience. What makes this film stand out to me is Andrew’s evolving relationship with his mother and trying to find his place in the world.",,2023-05-16
2023-05-17,The Starling Girl,2023,https://boxd.it/4fSvYL,4,,"Classic exploration of a power imbalanced relationship but with a religious spin. I was expecting some sort of mental or physical control to be exerted over Jem, but this might have been the first time I’ve seen spiritual manipulation used in a way other than guilting the victim to submit to the church.",,2023-05-16
2023-05-17,Taxi Driver,1976,https://boxd.it/4fUvlX,4,,"This is my first time watching but I can see why there were so many comparisons to Joker when that came out. This is the most “New York” movie I’ve ever seen. It’s a perfectly fine film and it was a lot funnier than I was expecting, but I’m struggling to see why it’s consistently ranked as one of the greatest movies of all time. Maybe it’ll click on another watch.",,2023-05-16
2023-05-19,The Super Mario Bros. Movie,2023,https://boxd.it/4gorbT,5,Yes,The animators really ate when they added Shinji and Asuka’s synchronized attack.,,2023-05-18
2023-05-23,Carmen,2022,https://boxd.it/4hnvIz,4,,"I’ve been trying to see this for months simply because the pairing of Melissa Barrera and Paul Mescal is so odd and interesting. The lighting and set design are the noticeably outstanding facets of this project. I love how this film is operatic by design and the surrealist elements are used sparingly but effectively. I only wish there were a couple of more dance numbers towards the beginning to round out the film as a whole, but overall I was not let down by my anticipation.",,2023-05-22
2023-05-26,Master Gardener,2022,https://boxd.it/4i1OvJ,3,,"I can’t quite explain why, but I just feel like this would have been better suited if it had been formatted as a novel. The dialogue is stilted and the character relations are somewhat nebulous. I was really engaged in the gardener and reformed neo-Nazi angles in Narvel’s characterization, but was disappointed to see those take a backseat to this icky relationship with his apprentice.",,2023-05-25
2023-05-26,Sanctuary,2022,https://boxd.it/4i3qVH,3.5,,The most unorthodox romantic thriller I’ve ever seen. It lost some steam during the second act for me but picked right back up for its ending. Margaret Qualley ate and left no crumbs with her performance.,,2023-05-25
2023-05-26,You Hurt My Feelings,2023,https://boxd.it/4i5rR1,3.5,,This is a charming slice-of-life comedy but I felt at least twenty years younger than the target demographic.,,2023-05-25
2023-05-31,The Little Mermaid,2023,https://boxd.it/4jkKjV,4,,Halle Bailey and Daveed Diggs carried this remake but the actress that played human Ursula was acting like rent was past due.,,2023-05-30
2023-06-01,Shin Kamen Rider,2023,https://boxd.it/4jEsph,2.5,,"Didn’t know anything about Kamen Rider going in, but I wanted to give this a try for Hideaki Anno and my love of Shin Godzilla. It definitely feels like Power Rangers, but more in sense of corny dialogue and awful CGI rather than awesome vigilante justice. This has some of the worst editing I’ve ever seen and I couldn’t stop thinking about how much cleaner this would’ve been if this was an animated project. Regardless, it was entertaining and gave me enough intrigue to potentially check out the original. 

As a side note, the parallels to Evangelion are fucking insane and I don’t know if that’s in a good or bad way.",,2023-05-31
2023-06-02,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4jTeVX,5,,"While it takes a hot second to properly get into the swing of it, this film absolutely delivers on both the fanfare and the narrative. This is true for most Spider-Men, but it always amazes me how a story about a kid with arachnid-like abilities hopping between dimensions can contain such profound and personally-impactful dialogue and narrative beats. The scenes that hit, hit fucking hard. The sequence in Nueva York is a masterpiece with an emotional core that is unique and fresh to the existing Spider-Man mythos. The references and connections to other parts of the multiverse blew my mind and while I still like Multiverse of Madness, I wish that did more of what this did. I will be completely unstable until Beyond the Spider-Verse comes out.",,2023-06-01
2023-06-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4k3IRr,5,Yes,"Yeah, Spider-Man is definitely one of the greatest characters in fiction.",,2023-06-02
2023-06-08,Transformers: Rise of the Beasts,2023,https://boxd.it/4lBNqx,3.5,,"This film’s fatal flaw is also unfortunately a necessary one. Like all of its predecessors, this movie is dragged down by its need to center the plot around human protagonists. While Noah and Elena are likable, I always find myself just wanting to get back to the action and lore of the robots in disguise. Mirage was my favorite addition to this movie and he had a bunch of jokes that made me laugh out loud. I hope we get to see more of the Maximals in a future movie. I’m definitely interested to see how the setup at the end of the film pays off, but I really hope this franchise is close to capturing the reign of Starscream and Megatron.",,2023-06-07
2023-06-09,The Boogeyman,2023,https://boxd.it/4lLkXd,3.5,,The most unrealistic part of this movie is Sadie still having hearing after multiple shotgun blasts right next to her ear.,,2023-06-08
2023-06-13,The Flash,2023,https://boxd.it/4n1Tib,3.5,,"Flashpoint is one of my favorite DC stories, so naturally I had exceedingly high expectations for its first live action adaptation. Unfortunately, this project has incurred some of the worst controversies of a modern blockbuster through its development hell, COVID delays, and whatever is happening with Ezra Miller.

Narratively, this film has all the general story beats of the original comic. While I knew that it wouldn’t involve itself with the Atlantean-Amazon War, I was most disappointed with the exclusion of the Reverse Flash. Not only is he integral to Flashpoint, but he provides compelling reasons for Barry to get involved in the first place. However, through a couple awkward sidesteps and a plot thread that pays off somewhat nicely, I can overlook this with hopes the Reverse Flash will have proper development soon.

I don’t blame you if you can’t, but if you’re able to separate the art from the artist, I think Ezra Miller delivered a decent performance. In my opinion, the aspect that works in his favor is having two Flashes. The double Barry Allen’s paradoxically work because they are able to bounce off each other in a master-apprentice style relationship.

In terms of cameos, this movie has some of the best. While there’s an argument to be had as to how much these cameos degrade the overall quality of the film, there were multiple moments where my jaw went through the floor. Of course, getting to see Keaton’s Batman with the original Elfman theme blaring was magical. Having General Zod effectively mark the beginning and end of this era of the DCEU is also appreciated. However, it was in those unexpected cameos where the movie was made for me.

On a final note, the CGI was noticeably bad, but it’s hard to hold it too much against the movie considering there are multiple extended sequences that require fully CGI shots and content. I will give props to the innovative attempt to depict the traversal of time. While this film doesn’t always look perfect, I can appreciate what they were trying to accomplish.

The Flash is far from a perfect movie, and I imagine this might be conceptually inaccessible to most audiences. To be honest, I had a great time watching and I’m extremely excited for what’s in store for the new era of the DCEU.",,2023-06-12
2023-06-14,Past Lives,2023,https://boxd.it/4nbwp9,4.5,,"Firstly, I want to acknowledge Greta Lee’s phenomenal June double feature: carrying this movie with Yoo Teo and being prominently featured in Across the Spider-Verse. 

This film ultimately portrays the failure of a relationship. The failure isn’t caused by an explosion of emotion or some irreconcilable difference of opinion, but simply a result of cosmic apathy. Nora and Hae Sung’s decade-long connection ties directly to the film’s central theme of <i>inyeon</i> and speaks to the very specific “what-ifs” in love and in life that everyone can relate to on some level or another.

While this unspoken tragedy didn’t quite register with me at my emotional core, it is still a profoundly beautiful film. The aspect that stuck out to me the most is the body language that was able to tell the entire story on its own. I was also captivated by the many shots seeming as though they were taken from the perspective of passing strangers, as if the audience is simply catching a glimpse into the infinitely complex lives of these people.",,2023-06-13
2023-06-15,Man of Steel,2013,https://boxd.it/4ns0Wz,5,Yes,"Call it nostalgia but this is gas as fuck. Every casting decision is absolute perfection. It's hard to believe it's already been so long, but I'm so glad I got to watch this on its tenth anniversary.",,2023-06-14
2023-06-16,Elemental,2023,https://boxd.it/4nJws1,3,,"Feels a bit aimless after the first act and the central conflict is haphazardly resolved. Otherwise, a very heartwarming allegory for immigrant families and the importance of forging your own path in life.",,2023-06-15
2023-06-17,The Blackening,2022,https://boxd.it/4nWA2R,2.5,,"Went in expecting a parody but, with the exception of a few good jokes, this just ends up being a compilation of clichés of the genre it’s satirizing.",,2023-06-16
2023-07-05,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4tfu6L,4.5,,"I entered this movie with both excitement and hesitation. Indiana Jones is one of my favorite film characters of all time, but the mixed reviews of this movie had me quite dismayed. While it was never going to top the originals, Dial of Destiny proves that the formula still works. Every beloved staple of the franchise is found in this film: thrilling chase sequences, ingenious physical comedy, mystical pseudo-religious MacGuffins, and of course Nazi-killing. I appreciated Dr. Voller’s desire is not driven by pure greed but rather physical and mathematical theories to the point where he uses Hitler’s Reich as a means to an end. The final set piece of the film was the highlight for me, it made sense for a character obsessed with ancient history to find himself able to transcend that barrier in his golden hour. Harrison Ford as Indiana Jones will forever be remembered as a landmark character in cinema and I really hope this franchise is able to continue in some way without him (fingers crossed for a Short Round spin-off).",,2023-07-04
2023-07-07,Asteroid City,2023,https://boxd.it/4tJurz,4,,My second favorite Anderson color palette (Grand Budapest Hotel on top). Also low-key has some of the best comedic timing out of all of his filmography I’ve seen thus far. A little hard to follow at times narratively but I might rate this higher on rewatch.,,2023-07-06
2023-07-08,Joy Ride,2023,https://boxd.it/4tYO3n,4,,"Didn’t pick up until the beginning of the second act for me, but it kept a smile on my face the rest of the movie. Contains many laugh-out-loud moments and a emotional core that is surprisingly deep - my expectations we’re definitely subverted halfway through the movie. In terms of the cast, the standout for me was Academy Award nominee Stephanie Hsu, but the entire core four made this comedy instantly memorable through their group chemistry and humor.",,2023-07-07
2023-07-08,No Hard Feelings,2023,https://boxd.it/4u6SeP,3,,By-the-numbers raunchy comedy with an unsurprising standout performance by Jennifer Lawrence. The Maneater needle drop is instantly iconic.,,2023-07-07
2023-07-11,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4v74x9,5,,"One of my first college experiences was attempting to make friends with my floormates by attending a weekend get-together and movie night. I don’t remember how it was chosen, it probably had to do with the fact Fallout had just released, but the movie of choice was the original Mission Impossible, a film and franchise I knew about but didn’t give much attention. Dead Reckoning is my first theatrical experience with this franchise and by now I can say that it is one of my favorite series of films ever made. I’m continually amazed in how each film is able to rival or surpass its predecessor, and this entry is no exception.

Dead Reckoning sheds the emotional intimacy of the previous films in favor of drastically increasing the threat contained within. Artificial intelligence has been a hot topic since at least the original film, but there couldn’t have been a better time to capture the zeitgeist of the charged climate regarding it the way this film did. This franchise already has its share of memorable villains, but in my opinion The Entity is the most intimidating one yet. At the very least, the concept of a “stateless, amoral, and areligious” entity as is stated in the film is entirely in line with raising the stakes as each film in the franchise has managed to accomplish. Furthermore, previous villains have touted that they are multiple steps ahead of Ethan. This is the first that instills the nightmare that the enemy can not only know your next move but also change the very foundation of truth as is shown multiple times throughout the movie.

Hayley Atwell and Pom Klementieff are some of my favorite additions to the franchise. Hayley’s character Grace subverts the traditional enemy-to-ally trope by infusing it with a shared sense of camaraderie that is unique to Ethan’s team. On the other hand, I was initially disappointed with Pom’s lack of dialogue, but quickly grew to love the physicality she imbued into her performance.

While nothing needs to be added about Tom Cruise as Ethan Hunt, I’ll just say that he is one of the main reasons I have grown in love with this franchise. His passion for the character and the filmmaking is palpable and appreciated.

On a final note, I want to note how well this film manages to incorporate mind games and puzzles as well as its action set pieces. Some of my favorite sequences didn’t involve any fighting but rather required a solution that needed to be outsmarted, such as the Abu Dhabi airport or Italian gala scenes. Additionally, what provided the most tension throughout the film was how there were almost always four or five parties involved that all had conflicting goals and motives.

I think I might appreciate Fallout just a tiny bit more, but Dead Reckoning is a masterclass in tension and raising the already impossible stakes that the previous entries have set.",,2023-07-10
2023-07-17,The Lesson,2023,https://boxd.it/4wJkh7,4,,"Love all the actors in this, especially Richard Grant. Liam’s quest to discover true mastery of the craft is carried by the ominous undertones of the work he is interfering. I’m still not sure if I think the ending is fully satisfactory, but there a lot of really engaging scenes that it doesn’t really matter.",,2023-07-16
2023-07-21,Barbie,2023,https://boxd.it/4y9GJD,5,,"Barbie is the most fun in theaters I’ve had in years, but Barbie making me cry was not on my 2023 Bingo card. Margot Robbie serves an Oscar-worthy performance, Ryan Gosling gives an expected “literally me” characterization of Ken, and America Ferrera is the standout star of the film for me. An incredibly meta comedy that really makes you think about what it means to be human. The first half of Barbenheimer will be fondly remembered for years to come.",,2023-07-20
2023-07-21,Oppenheimer,2023,https://boxd.it/4yfD4T,5,,"From the very first shot, Nolan frames this film not as a traditional biopic - he never settles for traditional - but rather an American epic with a tale as tall as Prometheus. Clocking in at three hours, Nolan sheds the humble beginnings of an at the time unrecognized genius that would normally be the focus of the film. 

After a fascinating sequence that I can only liken to seeing the Avengers of twentieth century physicists and mathematicians, we are hurried along to the selling point of the film: the creation of the atomic bomb. There is never a dull moment as Oppenheimer leads the Manhattan Project to its terminus. The Trinity Test scene might be the best of Nolan’s career. However, after this point the film spends little time pontificating over the moral quandaries of the bomb as was expected. 

The final hour brings together all the remaining plot threads into a very fast-paced yet exhilarating thesis on the nature of scientific credibility specifically with regards to Lewis Strauss. In a broad sense, this feud can be compared to the Batman and Joker of Nolan’s filmography. Between Oppenheimer and Strauss lies an irreconcilable difference of opinion regarding the future of atomic energy. The final line of the film is quite haunting in this regard.

If we piece this film into the rest of Nolan’s work, it’s association with respect to the motif of time and Homeric protagonists is clearly established. I simply want to compare this film to Dunkirk, as this is Nolan’s second film explicitly exploring World War II. Dunkirk, from the perspective of the British, is a microcosm of British perseverance against the German war machine. Oppenheimer is a highlight reel of the events and aftermath regarding the creation of the bomb. In both instances, the enemy abroad is never shown in any meaningful capacity, yet disunity and disloyalty at home is among the chief introspections in both films. In Oppenheimer’s case, however, the unique history of post-war America and the Red Scare lends itself to play much more heavily into this theme.

On a final note, the secondary elements of the film from the soundtrack to the use of color to the supporting cast are all phenomenal. Ludwig Goransson is officially one of the best living composers with this score in my eyes, with some of the tracks rivaling that of even Zimmer’s best. I really loved the use of black and white to depict fact as opposed to the colorful feeling and slight hyperbole of the rest of the film. Specifically, the overexposed shots that correlated to extreme emotions was appreciated.

The second half of Barbenheimer surpassed my anticipation, but as both a history buff and Nolan fan that was to be expected.",,2023-07-20
2023-07-25,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4A5Haz,5,Yes,"Had to make sure I saw this one last time before it left theaters, it’s just that good.",,2023-07-24
2023-07-29,Haunted Mansion,2023,https://boxd.it/4BtKQP,3,,"Not trying to be funny, not trying to get a laugh. I don't want anybody to have the worst day at their job... But... did this Hatbox Ghost... fucker... ever blast out of the wall... and have, like, a huge cum shot?",,2023-07-28
2023-07-31,Theater Camp,2023,https://boxd.it/4CnEav,3,,"The mockumentary format didn’t work for me as much as I’d hoped and a lot of the humor didn’t land. Still, there are some funny bits and character performances, especially from Ayo Edebiri and Patti Harrison.",,2023-07-30
2023-07-31,Talk to Me,2022,https://boxd.it/4CqHVb,3.5,,"I didn’t really have any expectations until I went to buy tickets and the employees were making small talk about how scary this movie is supposed to be. This film excels at creating and maintaining a horrific atmosphere and the direction of the possession scenes is especially haunting. On the other hand, I didn’t find the intermediary, plot driving moments to be very engaging, nor was I ever truly terrified.",,2023-07-30
2023-08-05,Oppenheimer,2023,https://boxd.it/4DVsFN,5,Yes,"Drove two hours away just to see what the hype was about the 70mm IMAX and the experience was definitely worth it (even for the front row). While the difference in quality wasn’t visible to my eye, I could tell by the nature of the larger screen and reduced margins that there was an inherent increase in visual fidelity. 

This time around, I wanted to highlight a striking parallel I noticed between a painting Oppenheimer sees during his European studies and his sullen face upon witnessing the atrocities of the bombs. It can’t be overstated how terrifyingly powerful the ending of this film is, and on this viewing it made me observant of the motif of raindrops throughout the film that I’ll have to pay more attention to on my next watch.",,2023-08-04
2023-08-06,Shortcomings,2023,https://boxd.it/4Est5x,3,,"Would have liked this a lot better if Ben wasn’t such an unlikeable piece of shit, but otherwise a promising directorial debut from Randall Park. Between this and Joy Ride, Sherry Cola is quickly becoming one of my favorite new actresses. Jacob Batalon being in this gave me a jump scare (in a good way), and I’m glad to see him and Debby Ryan secure more roles outside of Disney. He also delivers the most extremely mind blowing meta joke I’ve heard in recent memory.",,2023-08-05
2023-08-08,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/4FagER,4,,"Really funny action adventure movie that puts a fresh spin on the characters and world it establishes. The turtles are the most “teenage” they’ve ever been and are now firmly in the zoomer demographic while still retaining some of their nineties charm. Donatello is my favorite in this with his Attack on Titan game plan, Jojo’s sweater, and Gojo staff sticker. The art style is certainly inspired by Spider-Verse, but is personalized enough to create a distinct vibe and atmosphere. The referential humor, while appreciated, sometimes felt out of place or forced. Additionally, some of the plot and character arcs didn’t feel particularly paced well. Overall though, this is the most enjoyable Turtles movie I’ve seen and I’m excited for a potential sequel.",,2023-08-07
2023-08-09,Meg 2: The Trench,2023,https://boxd.it/4FtCmX,2.5,,"For a franchise that stipulates prehistoric megalodons still roam the earth, it certainly comes to the most boring conclusions possible. Instead of going wild with this concept, this film mainly revolves around industrial sabotage and surface-level messaging about saving the oceans, with megalodons simply being an inconvenience to the crew. It would be awesome if this expanded on the last movie by adding lore to the trench, such as having trench warfare between sharks or even something absurd like a sect of creatures that have managed to live for millions of years. Despite all the negatives, this movie is actually somewhat entertaining, which is a testament to how great this franchise could be with interesting writing.",,2023-08-08
2023-08-13,Gran Turismo,2023,https://boxd.it/4GDy29,4,,"My first impression is that this is just feature-length advertisement for Nissan and PlayStation, and there are some moments in this film where that feels like the point. I wish there was more introspection as to the why and the how of the GT Academy’s inception, although I admit that would be better suited for a documentary. I also felt that Jann’s path to success was very superfluous, as if he was destined to win simply because that’s the outcome that happened in real life; there weren’t many obstacles he had to overcome that were patently within his control.

As an advertisement for racing as a sport, however, this film is certainly persuasive. To Neill Blomkamp’s credit, the direction of the racing scenes is pure electricity, especially with the musical score. I didn’t expect much from this film going in, but I’m glad that I gave it a chance. Either way, I’m just grateful I won’t have to see that awful trailer before other movies anymore.",,2023-08-12
2023-08-17,The Pod Generation,2023,https://boxd.it/4HWOAt,4,,"A deeply unsettling dystopia disguised as a lighthearted sci-fi exploration. Impeccable fashion and set design that feels realistic for the time period of the future. This film would be stronger with a more poignant lasting impression, but overall is very thought provoking in its own right.",,2023-08-16
2023-08-17,Love Life,2022,https://boxd.it/4I064V,3.5,,"Beautifully shot and soft spoken slice-of-life. Intentionally slow at points, but I liked the warm energy of the film despite its fragile subject matter. The ending gave me a whiplash in expectations and I’m not sure if it enhances the film for me.",,2023-08-16
